code,ip_density,diameter,avg_pgrank,num_intl_countries,num_edges,num_nodes,num_large_providers,avg_deg,avg_bcen,largest_cust_cone,num_announced_ip,num_intl_nodes
LA,0.011,6.0,0.056,2,21,18,0,2.333,0.085,5,196,7
TT,0.39,5.0,0.091,1,12,11,0,2.182,0.147,12,337,2
TR,0.216,6.0,0.002,12,556,406,2,2.739,0.004,372,13593,34
LK,0.026,4.0,0.029,5,44,35,0,2.514,0.034,14,328,19
LI,2.635,7.0,0.038,2,30,26,0,2.308,0.089,4,45,14
LV,0.926,6.0,0.003,19,485,304,1,3.191,0.006,218,746,95
TO,0.133,2.0,0.333,1,2,3,0,1.333,0.333,2,11,1
TL,0.012,2.0,0.2,3,3,5,0,1.2,0.033,1,64,3
LU,2.519,7.0,0.004,32,664,224,0,5.929,0.007,41,416,164
TJ,0.009,1.0,0.167,2,3,6,0,1.0,0.0,3,60,2
TH,0.133,8.0,0.003,9,630,342,1,3.684,0.007,222,5302,43
TG,0.041,2.0,0.333,0,2,3,0,1.333,0.333,2,56,1
TD,0.001,1.0,0.5,1,1,2,0,1.0,0.0,1,18,1
TC,0.349,1.0,0.5,0,1,2,0,1.0,0.0,1,21,1
LY,0.054,1.0,0.2,0,3,5,0,1.2,0.033,3,65,0
VC,0.276,1.0,0.5,0,1,2,0,1.0,0.0,1,72,0
AE,0.419,7.0,0.011,8,119,94,1,2.532,0.016,193,802,43
VE,0.222,5.0,0.001,62,797,746,1,2.137,0.002,140,1481,698
VI,0.917,2.0,0.2,0,3,5,0,1.2,0.033,2,150,1
IS,2.72,6.0,0.016,4,111,61,0,3.639,0.029,24,154,15
IR,0.152,7.0,0.003,3,571,373,2,3.062,0.006,320,5260,6
AM,0.207,6.0,0.014,4,115,71,0,3.239,0.026,82,427,17
IT,0.873,7.0,0.001,82,6560,1661,3,7.899,0.001,13190,4367,981
VN,0.174,6.0,0.004,18,321,225,1,2.853,0.008,118,3402,199
AR,0.441,4.0,0.002,10,817,429,4,3.809,0.004,175,9671,30
IM,0.202,5.0,0.067,5,13,15,0,1.733,0.052,1,27,11
IL,0.929,8.0,0.002,52,802,403,2,3.98,0.005,139,4613,194
IN,0.029,6.0,0.001,6,1861,975,5,3.817,0.002,1461,28560,425
TZ,0.02,12.0,0.016,8,77,63,0,2.444,0.049,40,417,12
AZ,0.08,5.0,0.022,1,52,46,1,2.261,0.032,248,764,6
IE,1.394,7.0,0.007,8,215,146,0,2.945,0.014,17,612,45
ID,0.07,7.0,0.002,7,984,580,4,3.393,0.004,253,6848,452
MY,0.223,8.0,0.006,0,225,161,2,2.795,0.013,304,3186,21
QA,0.388,5.0,0.048,2,26,21,0,2.476,0.081,46,312,11
