cc,ip_density,diameter,avg_p_len,percentile_cust_cone,avg_h_im,percentile_degree,stub_count,num_intl_countries,tot_peer_edges,num_edges,num_nodes,num_large_providers,avg_deg,avg_v_im,num_intl_nodes,num_large_nodes,num_announced_ip,max_h_im,max_p_len,max_v_im
MN,0.0012,0.3077,0.2312,0.0249,0.6284,0.02,0.0022,0.1158,0.0034,0.0018,0.0048,0.0,0.0951,0.0001,0.0094,0.0,0.0016,0.0162,0.2652,0.0
MH,0.0025,0.0,0.0789,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.191,0.0
MU,0.0237,0.3077,0.205,0.5726,0.5318,0.02,0.0007,0.5158,0.0558,0.0214,0.0542,0.0435,0.1043,0.0013,0.1506,0.037,0.0019,0.0269,0.1266,0.0001
MT,0.0224,0.5385,0.3495,0.0677,0.3566,0.098,0.0017,0.1053,0.0023,0.0017,0.0041,0.0,0.1118,0.0024,0.0085,0.0,0.0019,0.01,0.2045,0.0002
MW,0.0004,0.2308,0.3093,0.0105,0.3243,0.048,0.0004,0.0947,0.0014,0.0008,0.0021,0.0,0.0837,0.0,0.0051,0.0,0.0007,0.0084,0.2331,0.0
MV,0.0025,0.3846,0.2962,0.0,0.1821,0.024,0.0002,0.1,0.0018,0.0008,0.0023,0.0,0.0874,0.0032,0.0062,0.0,0.0013,0.0053,0.1539,0.0001
MR,0.0002,0.3077,0.4392,0.0189,0.2267,0.064,0.0001,0.0211,0.0,0.0001,0.0003,0.0,0.0905,0.0,0.0006,0.0,0.0001,0.0059,0.7603,0.0
UG,0.0001,0.5385,0.3879,0.0273,0.4025,0.141,0.0014,0.1263,0.0038,0.0024,0.0041,0.0,0.1992,0.0001,0.0083,0.0,0.0017,0.0297,0.3056,0.0
MY,0.0035,0.5385,0.2111,0.0386,0.3104,0.2,0.0085,0.2053,0.0159,0.0114,0.0158,0.0435,0.266,0.0007,0.0267,0.0,0.02,0.0685,0.1411,0.0003
MX,0.0036,0.3846,0.3286,0.0525,0.1967,0.26,0.0118,0.0947,0.0018,0.0083,0.0119,0.0217,0.2529,0.0019,0.01,0.0,0.063,0.019,0.4526,0.0008
IL,0.0146,0.5385,0.2734,0.0131,0.4451,0.1,0.014,0.3368,0.0165,0.0144,0.0191,0.0435,0.2799,0.0012,0.0294,0.0,0.029,0.057,0.2166,0.0003
FR,0.0189,0.4615,0.0497,0.021,0.601,0.975,0.056,0.4368,0.2294,0.118,0.0638,0.1087,0.8223,0.0184,0.073,0.0,0.0337,0.1047,0.0187,0.0143
FI,0.039,0.4615,0.3307,0.0163,0.4527,0.06,0.012,0.2842,0.0271,0.0156,0.0337,0.0,0.1389,0.0009,0.0717,0.037,0.0042,0.092,0.179,0.0003
FJ,0.0026,0.4615,0.2668,0.0105,0.0607,0.063,0.0002,0.0158,0.0,0.0003,0.0007,0.0,0.1307,0.0,0.0013,0.0,0.0003,0.0022,0.1067,0.0
