AS      | CC | Registry | Allocated  | AS Name
10183   | KR | apnic    | 2000-09-01 | KCISA-AS-KR Korea Culture Information Service Agency,KR
10184   | KR | apnic    | 2000-09-01 | KFCCC-AS Korean Federation of Community Credit Cooperatives,KR
10185   | KR | apnic    | 2000-09-01 | HNB-AS Hana Bank Co.,KR
10187   | KR | apnic    | 2000-09-01 | KISDI-AS-KR Korea Information Society Developement Institute,KR
10189   | KR | apnic    | 2000-09-01 | HMM-AS-KR SOON CHUN HYANG UNIVERSITY,KR
10190   | KR | apnic    | 2000-09-01 | JB-AS-KR Joongbu University,KR
10192   | KR | apnic    | 2000-09-01 | KIWOOM-AS-KR kiwoom.com Securities.co.,Ltd,KR
10193   | KR | apnic    | 2000-09-01 | WEMADE-AS-KR WEMADE Entertainment,KR
10194   | KR | apnic    | 2000-09-01 | DOOSANHEAVY-AS-KR Doosan Heavy Industries & Construction Co., Ltd.,KR
10196   | KR | apnic    | 2000-09-01 | HNCBWORLD-AS-KR Kookmin Bank,KR
10197   | KR | apnic    | 2000-09-01 | CNU-AS-KR Chonnam National University,KR
10198   | KR | apnic    | 2000-09-01 | CUP-AS-KR Catholic University of Pusan,KR
10199   | IN | apnic    | 2000-09-01 | TATA-AS Tata Communications Ltd,IN
102     | US | arin     |            | NSF-HQ-AS - National Science Foundation,US
10200   | NZ | apnic    | 2004-03-12 | NETSMART-AP Web hosting provider and ISP connectivity.,NZ
10201   | IN | apnic    | 2004-11-10 | DWL-AS-IN Dishnet Wireless Limited. Broadband Wireless,IN
10202   | HK | apnic    | 2010-05-06 | BOCI-HK-AP BOC International Holdings Limited,HK
10203   | AU | apnic    | 2000-09-07 | DATACOMWA-AS-AP Datacom MetroIX,AU
10204   | MY | apnic    | 2000-09-08 | ARCNET-NTTMSC-MY Arcnet NTT MSC ISP,MY
10205   | HK | apnic    | 2000-09-08 | ONCC-AS-AP ON.CC(HK) LIMITED,HK
10207   | AU | apnic    | 2010-05-31 | INTERVOLVE-ADELAIDE-AS-AP Interhost Pacific Pty Ltd t/a Intervolve.,AU
10208   | ID | apnic    | 2000-09-13 | THENET-AS-ID-AP PT. Millenium Internetindo,ID
10209   | JP | apnic    | 2007-09-25 | SYNOPSYS-AS-JP-AP Japan HUB and Data Center,JP
10210   | AU | apnic    | 2010-01-27 | AWAC-AU 8 Clunies Ross Court,AU
10212   | CN | apnic    | 2000-09-21 | CHINAENTERCOM China Enterprise Communications Ltd.,CN
10213   | AU | apnic    | 2000-09-22 | WORKCOVER-AS-AP Workcover Corporation,AU
10215   | IN | apnic    | 2005-01-31 | MICROLANDNET-AS-AP Microland Limited. IT Infra Service Provider. India,IN
10217   | ID | apnic    | 2000-09-27 | NTT-NET-ID-AS PT. NTT Indonesia,ID
10218   | AU | apnic    | 2005-02-10 | MINCOM-LIMITED-AS-AP Optus Customer Network,AU
